date,Close,MA5,MA20,spread,cross,signal,trade,MA10,MA30,spread_10_30,cross_10_30
2025-04-29,224.12,226.83,218.57750000000001,8.252499999999998,0.0,1,0,221.488,227.69566666666665,-6.207666666666654,0.0
2025-04-30,223.59,226.45999999999998,217.926,8.533999999999992,0.0,1,0,222.602,226.99666666666664,-4.394666666666637,0.0
2025-05-06,223.72,225.41199999999998,217.277,8.134999999999991,0.0,1,0,223.61800000000002,226.02233333333334,-2.4043333333333123,0.0
2025-05-07,230.7,225.814,217.28000000000003,8.533999999999963,0.0,1,0,225.38599999999997,225.38866666666667,-0.0026666666666983474,0.0
2025-05-08,236.66,227.75799999999998,218.974,8.783999999999992,0.0,1,0,227.16,225.15866666666668,2.0013333333333208,2.0
2025-05-09,240.36,231.006,220.66150000000002,10.344499999999982,0.0,1,0,228.91799999999998,224.98000000000002,3.9379999999999598,0.0
2025-05-12,249.09,236.106,223.1685,12.9375,0.0,1,0,231.283,225.04833333333332,6.234666666666669,0.0
2025-05-13,250.86,241.53400000000002,225.4345,16.099500000000006,0.0,1,0,233.47299999999996,225.261,8.21199999999996,0.0
2025-05-14,254.69,246.33200000000002,227.59099999999998,18.741000000000042,0.0,1,0,236.073,225.536,10.537000000000006,0.0
2025-05-15,252.27,249.454,229.62650000000002,19.827499999999986,0.0,1,0,238.606,225.7996666666667,12.8063333333333,0.0
2025-05-16,251.45,251.67200000000003,231.41350000000003,20.258499999999998,0.0,1,0,241.339,226.16466666666668,15.174333333333323,0.0
2025-05-19,252.09,252.27200000000002,233.3955,18.87650000000002,0.0,1,0,244.18900000000002,226.68033333333332,17.5086666666667,0.0
2025-05-20,255.09,253.118,235.47200000000004,17.645999999999958,0.0,1,0,247.32599999999996,227.29333333333335,20.032666666666614,0.0
2025-05-21,266.17,255.414,238.1295,17.28449999999998,0.0,1,0,250.873,228.47766666666666,22.395333333333326,0.0
2025-05-22,262.46,257.452,240.30649999999997,17.145500000000027,0.0,1,0,253.45300000000003,230.46699999999998,22.986000000000047,0.0
2025-05-23,259.08,258.97799999999995,242.12150000000003,16.856499999999926,0.0,1,0,255.325,232.21599999999998,23.10900000000001,0.0
2025-05-26,247.99,258.158,243.24900000000002,14.908999999999992,0.0,1,0,255.21499999999997,233.85066666666668,21.364333333333292,0.0
2025-05-27,246.08,256.356,244.10500000000002,12.250999999999976,0.0,1,0,254.73700000000002,235.20200000000003,19.534999999999997,0.0
2025-05-28,245.69,252.26,244.95499999999998,7.305000000000007,0.0,1,0,253.83700000000005,236.33966666666666,17.497333333333387,0.0
2025-05-29,243.94,248.55599999999998,245.805,2.7509999999999764,0.0,1,0,253.004,237.419,15.58499999999998,0.0
2025-05-30,242.09,245.158,246.70350000000002,-1.5455000000000325,-2.0,0,-1,252.06799999999998,238.29833333333335,13.769666666666637,0.0
2025-06-03,243.24,244.208,247.686,-3.4780000000000086,0.0,0,0,251.18300000000005,239.32466666666667,11.858333333333377,0.0
2025-06-04,243.14,243.61999999999998,248.65699999999998,-5.037000000000006,0.0,0,0,249.988,240.31066666666666,9.677333333333337,0.0
2025-06-05,243.59,243.2,249.30149999999998,-6.101499999999987,0.0,0,0,247.73000000000002,241.32966666666664,6.4003333333333785,0.0
2025-06-06,240.97,242.606,249.517,-6.911000000000001,0.0,0,0,245.581,242.06466666666665,3.5163333333333355,0.0
2025-06-09,237.67,241.72200000000004,249.3825,-7.660499999999956,0.0,0,0,243.44,242.561,0.8789999999999907,0.0
2025-06-10,235.23,240.11999999999998,248.6895,-8.569500000000033,0.0,0,0,242.164,242.88733333333332,-0.7233333333333292,-2.0
2025-06-11,242.59,240.01,248.27599999999998,-8.265999999999991,0.0,0,0,241.81499999999997,243.34166666666667,-1.5266666666666993,0.0
2025-06-12,241.9,239.67200000000003,247.6365,-7.964499999999987,0.0,0,0,241.43599999999998,243.782,-2.346000000000032,0.0
2025-06-13,240.29,239.536,247.0375,-7.501499999999993,0.0,0,0,241.071,244.227,-3.156000000000006,0.0
2025-06-16,238.75,239.752,246.4025,-6.650499999999994,0.0,0,0,240.737,244.7146666666667,-3.9776666666666927,0.0
