Date,Close,MA5,MA20,signal,position,position_change,action,ret,strategy_ret,buyhold_ret,SPY_Close,market_ret,nav_strategy,nav_buyhold,nav_market
2024-10-23,139.34228515625,140.13903198242187,130.82308502197264,1,1,0.0,,-0.028065911046121106,-0.028065911046121106,-0.028065911046121106,566.3552856445312,-0.009137259973135414,1.0071694176344252,1.129771258687451,1.0452767207980231
2024-10-24,140.1909637451172,140.83395080566407,131.64030914306642,1,1,0.0,,0.006090603350702439,0.006090603350702439,0.006090603350702439,567.5801391601562,0.0021626945959039023,1.0133036870641945,1.1366522473011402,1.0475373351133173
2024-10-25,141.31918334960938,141.5408447265625,132.6457378387451,1,1,0.0,,0.00804773413601323,0.00804773413601323,0.00804773413601323,567.384033203125,-0.00034551236644997374,1.021458485736729,1.1457997223925218,1.0471753980097176
2024-10-28,140.30075073242188,140.9038330078125,133.5982479095459,1,1,0.0,,-0.0072066126696189725,-0.0072066126696189725,-0.0072066126696189725,569.13818359375,0.0030916456720186947,1.0140972300719289,1.137542387596282,1.0504128932968189
2024-10-29,141.02964782714844,140.4365661621094,134.80885734558106,1,1,0.0,,0.005195247287854476,0.005195247287854476,0.005195247287854476,570.0592041015625,0.001618272212904115,1.0193657159560807,1.143452201600261,1.0521127472941174
2024-10-30,139.1226043701172,140.39263000488282,135.8317584991455,1,1,0.0,,-0.013522287592808824,-0.013522287592808824,-0.013522287592808824,568.3345947265625,-0.0030253162524023214,1.0055815595826731,1.1279901120815918,1.0489297735003689
2024-10-31,132.55287170410156,138.8650115966797,136.32648468017578,1,1,0.0,,-0.04722261127701233,-0.04722261127701233,-0.04722261127701233,557.1935424804688,-0.019602980971893724,0.9580953724871688,1.0747234734944493,1.0283676231095884
2024-11-01,135.18875122070312,137.63892517089843,136.84966659545898,1,1,0.0,,0.019885495370373096,0.019885495370373096,0.019885495370373096,559.545166015625,0.004220478802908323,0.9771475735811382,1.0960948821510546,1.0327078268645196
2024-11-04,135.83773803710938,136.74632263183594,137.26551666259766,0,1,0.0,,0.004800597760879821,0.004800597760879821,0.004800597760879821,558.33984375,-0.0021541107650125957,0.981838466034921,1.1013567927880208,1.030483259817558
2024-11-05,139.6917266845703,136.4787384033203,137.61596908569337,0,0,-1.0,卖出,0.028372002531491525,0.0,0.028372002531491525,565.09130859375,0.012092034841011623,0.981838466034921,1.132604490501078,1.042943899298351
2024-11-06,145.38282775878906,137.73078308105468,138.26295776367186,0,0,0.0,,0.040740430441306597,0.0,0.040740430441306597,579.1426391601562,0.02486559313993597,0.981838466034921,1.1787472849638485,1.0688773179660822
2024-11-07,148.6477508544922,140.94975891113282,138.96536102294922,1,0,0.0,,0.02245741911912802,0.0,0.02245741911912802,583.6205444335938,0.007731955775059474,0.981838466034921,1.2052189067778158,1.0771418301175602
2024-11-08,147.39967346191406,143.391943359375,139.605859375,1,1,1.0,买入,-0.008396207715243742,-0.008396207715243742,-0.008396207715243742,586.1487426757812,0.0043319212565438026,0.9735947463312755,1.1950996384941703,1.081807923707759
2024-11-11,145.0334014892578,145.2310760498047,139.9647994995117,1,1,0.0,,-0.01605344107677187,-0.01605344107677187,-0.01605344107677187,586.7071533203125,0.000952677373292854,0.9579652004383917,1.1759141768667327,1.0828385376389242
